Date;Season;Home;Away;HG;AG;Res;PH;PD;PA
22/11/2015;36;Sport;Athletico PR;0;0;D;1,79;3,71;5,11
28/11/2015;37;Sao Paulo;Figueirense;3;2;H;1,56;4,2;6,93
28/11/2015;37;Fluminense;Internacional;1;1;D;3,46;3,5;2,22
28/11/2015;37;Avai;Ponte Preta;1;0;H;1,72;3,78;5,56
29/11/2015;37;Cruzeiro;Joinville;3;0;H;1,31;5,76;11,16
29/11/2015;37;Gremio;Atletico MG;2;1;H;2,19;3,48;3,55
29/11/2015;37;Sport;Corinthians;2;0;H;2,37;3,5;3,15
29/11/2015;37;Chapecoense;Goias;1;3;A;2,09;3,4;3,95
29/11/2015;37;Palmeiras;Coritiba;0;2;A;2,9;3,31;2,61
29/11/2015;37;Vasco;Santos;1;0;H;1,69;3,75;5,98
29/11/2015;37;Athletico PR;Flamengo;3;0;H;2,54;3,48;2,91
06/12/2015;38;Atletico MG;Chapecoense;3;0;H;1,31;5,67;12,06
06/12/2015;38;Corinthians;Avai;1;1;D;1,65;4,4;5,17
06/12/2015;38;Coritiba;Vasco;0;0;D;2,39;3,37;3,23
06/12/2015;38;Figueirense;Fluminense;1;0;H;1,35;5,01;11,67
06/12/2015;38;Flamengo;Palmeiras;1;2;A;1,56;4,31;6,6
06/12/2015;38;Goias;Sao Paulo;0;1;A;2,73;3,37;2,76
06/12/2015;38;Internacional;Cruzeiro;2;0;H;1,85;3,63;4,68
06/12/2015;38;Joinville;Gremio;0;2;A;4,76;3,73;1,83
06/12/2015;38;Ponte Preta;Sport;0;1;A;2,57;3,49;2,87
06/12/2015;38;Santos;Athletico PR;5;1;H;1,7;4,09;5,2
